date,rating,sentiment,source,text
2022-01-02,1,Negative,Yelp,A little pricey but the quality is always there. Loved the Beau Travail screening.
2022-01-07,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-01-14,3,Neutral,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-01-19,3,Neutral,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-01-20,5,Positive,Google,The gallery spaces are beautifully curated. Ana Mendieta: Traces was my favorite show this year.
2022-01-26,4,Positive,Yelp,The Tauba Auerbach: S v Z exhibition challenged me in the best way. Will be back next month.
2022-01-30,5,Positive,Yelp,The gallery spaces are beautifully curated. Radical Presence: Black Performance in Contemporary Art was my favorite show this year.
2022-02-02,4,Positive,Google,Not my usual style of art but Uncanny Valley: Being Human in the Age of AI really opened my mind. Impressive curation.
2022-02-03,3,Neutral,Google,Not my usual style of art but Radical Presence: Black Performance in Contemporary Art really opened my mind. Impressive curation.
2022-02-04,4,Positive,Google,Not my usual style of art but Uncanny Valley: Being Human in the Age of AI really opened my mind. Impressive curation.
2022-02-05,5,Positive,Google,A little pricey but the quality is always there. Loved the Tropical Malady screening.
2022-02-06,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-02-08,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-02-09,4,Positive,Yelp,Great film programming. Caught a rare 35mm screening of First Cow. Pure cinema magic.
2022-02-10,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2022-02-12,5,Positive,Yelp,"A little pricey but the quality is always there. Loved the Jeanne Dielman, 23 quai du Commerce screening."
2022-02-18,3,Neutral,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-02-21,3,Neutral,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-02-22,5,Positive,Google,Great film programming. Caught a rare 35mm screening of Tropical Malady. Pure cinema magic.
2022-02-27,4,Positive,Google,Good variety of art and film. Radical Presence: Black Performance in Contemporary Art was a bit dense but rewarding.
2022-02-28,3,Neutral,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-02,5,Positive,Yelp,The Bay Area Now 9 exhibition challenged me in the best way. Will be back next month.
2022-03-03,4,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-05,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-03-06,1,Negative,Google,The gallery spaces are beautifully curated. Tauba Auerbach: S v Z was my favorite show this year.
2022-03-06,4,Positive,Google,Great film programming. Caught a rare 35mm screening of Synonyms. Pure cinema magic.
2022-03-06,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-03-06,4,Positive,Google,"Wonderful museum in the heart of Berkeley. The Paper, Scissors, Stone: Contemporary Japanese Prints show was breathtaking."
2022-03-08,2,Negative,Yelp,A little pricey but the quality is always there. Loved the Decision to Leave screening.
2022-03-09,5,Positive,Google,Good variety of art and film. Ana Mendieta: Traces was a bit dense but rewarding.
2022-03-10,5,Positive,Yelp,Good variety of art and film. Uncanny Valley: Being Human in the Age of AI was a bit dense but rewarding.
2022-03-14,1,Negative,Google,One of the best film archives on the West Coast. Yi Yi (A One and a Two) on the big screen was a dream.
2022-03-16,2,Negative,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-03-18,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-03-18,2,Negative,Yelp,One of the best film archives on the West Coast. Platform (Zhantai) on the big screen was a dream.
2022-03-18,5,Positive,Google,BAMPFA always delivers. Saw Past Lives here — stunning print on the big screen.
2022-03-19,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-03-20,2,Negative,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-22,4,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-03-23,5,Positive,Yelp,Wonderful museum in the heart of Berkeley. The Ant Farm: 1968–1978 show was breathtaking.
2022-03-27,4,Positive,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-03-29,4,Positive,Yelp,The Uncanny Valley: Being Human in the Age of AI exhibition challenged me in the best way. Will be back next month.
2022-03-29,2,Negative,Google,BAMPFA always delivers. Saw All of Us Strangers here — stunning print on the big screen.
2022-03-29,2,Negative,Yelp,One of the best film archives on the West Coast. Platform (Zhantai) on the big screen was a dream.
2022-03-31,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-04-01,5,Positive,Google,The gallery spaces are beautifully curated. Uncanny Valley: Being Human in the Age of AI was my favorite show this year.
2022-04-02,2,Negative,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-04-05,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-04-08,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2022-04-09,5,Positive,Yelp,Membership is absolutely worth it. Always something new and thought-provoking.
2022-04-09,4,Positive,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-04-13,4,Positive,Yelp,Not my usual style of art but Dorothea Lange: Politics of Seeing really opened my mind. Impressive curation.
2022-04-16,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-04-18,3,Neutral,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-04-18,4,Positive,Google,Good variety of art and film. Ana Mendieta: Traces was a bit dense but rewarding.
2022-04-20,1,Negative,Yelp,"Wonderful museum in the heart of Berkeley. The Paper, Scissors, Stone: Contemporary Japanese Prints show was breathtaking."
2022-04-21,5,Positive,Google,One of the best film archives on the West Coast. The Worst Person in the World on the big screen was a dream.
2022-04-28,3,Neutral,Google,Great film programming. Caught a rare 35mm screening of Beau Travail. Pure cinema magic.
2022-04-29,4,Positive,Google,The gallery spaces are beautifully curated. Dorothea Lange: Politics of Seeing was my favorite show this year.
2022-05-06,4,Positive,Google,The Jockum Nordström: The Lonely Ones exhibition challenged me in the best way. Will be back next month.
2022-05-17,4,Positive,Yelp,Good variety of art and film. Theaster Gates: Black Image Corporation was a bit dense but rewarding.
2022-05-18,5,Positive,Google,Not my usual style of art but Ant Farm: 1968–1978 really opened my mind. Impressive curation.
2022-05-19,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-05-25,5,Positive,Yelp,"The Paper, Scissors, Stone: Contemporary Japanese Prints exhibition challenged me in the best way. Will be back next month."
2022-05-26,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-05-26,4,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-05-29,5,Positive,Google,A little pricey but the quality is always there. Loved the Tropical Malady screening.
2022-06-01,3,Neutral,Yelp,The gallery spaces are beautifully curated. Bay Area Now 9 was my favorite show this year.
2022-06-01,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-06-02,4,Positive,Google,Good variety of art and film. Defne Ayas: Threshold was a bit dense but rewarding.
2022-06-05,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-06-05,5,Positive,Yelp,A little pricey but the quality is always there. Loved the In the Mood for Love screening.
2022-06-09,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-06-19,5,Positive,Google,Great film programming. Caught a rare 35mm screening of Cache (Hidden). Pure cinema magic.
2022-06-20,3,Neutral,Google,Good variety of art and film. Theaster Gates: Black Image Corporation was a bit dense but rewarding.
2022-06-20,4,Positive,Google,Good variety of art and film. Ana Mendieta: Traces was a bit dense but rewarding.
2022-06-21,2,Negative,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-06-23,4,Positive,Google,Not my usual style of art but Mildred Howard: Room Tone really opened my mind. Impressive curation.
2022-06-28,5,Positive,Google,"Wonderful museum in the heart of Berkeley. The Paper, Scissors, Stone: Contemporary Japanese Prints show was breathtaking."
2022-06-30,4,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-07-01,5,Positive,Yelp,One of the best film archives on the West Coast. Past Lives on the big screen was a dream.
2022-07-02,5,Positive,Yelp,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-07-06,5,Positive,Yelp,Good variety of art and film. Barry McGee: Point the Finger was a bit dense but rewarding.
2022-07-06,4,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-07-17,5,Positive,Yelp,A little pricey but the quality is always there. Loved the Portrait of a Lady on Fire screening.
2022-07-22,5,Positive,Google,BAMPFA always delivers. Saw The Worst Person in the World here — stunning print on the big screen.
2022-07-22,4,Positive,Google,"Great film programming. Caught a rare 35mm screening of Jeanne Dielman, 23 quai du Commerce. Pure cinema magic."
2022-07-25,4,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-07-29,4,Positive,Yelp,The Ana Mendieta: Traces exhibition challenged me in the best way. Will be back next month.
2022-07-29,5,Positive,Yelp,Membership is absolutely worth it. Always something new and thought-provoking.
2022-08-04,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-08-06,4,Positive,Google,BAMPFA always delivers. Saw The Zone of Interest here — stunning print on the big screen.
2022-08-06,5,Positive,Google,BAMPFA always delivers. Saw Beau Travail here — stunning print on the big screen.
2022-08-10,1,Negative,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-08-12,4,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-08-15,5,Positive,Google,BAMPFA always delivers. Saw First Cow here — stunning print on the big screen.
2022-08-17,5,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-08-19,5,Positive,Yelp,A little pricey but the quality is always there. Loved the In the Mood for Love screening.
2022-08-23,3,Neutral,Google,A little pricey but the quality is always there. Loved the The Worst Person in the World screening.
2022-09-01,4,Positive,Yelp,Good variety of art and film. Tauba Auerbach: S v Z was a bit dense but rewarding.
2022-09-03,4,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-09-07,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-09-07,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-09-09,5,Positive,Yelp,One of the best film archives on the West Coast. Decision to Leave on the big screen was a dream.
2022-09-11,1,Negative,Google,Great film programming. Caught a rare 35mm screening of In the Mood for Love. Pure cinema magic.
2022-09-15,5,Positive,Google,Good variety of art and film. Bay Area Now 9 was a bit dense but rewarding.
2022-09-21,5,Positive,Google,The Bay Area Now 9 exhibition challenged me in the best way. Will be back next month.
2022-09-27,3,Neutral,Google,One of the best film archives on the West Coast. First Cow on the big screen was a dream.
2022-09-28,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-10-01,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-10-02,4,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2022-10-04,3,Neutral,Google,The gallery spaces are beautifully curated. Jockum Nordström: The Lonely Ones was my favorite show this year.
2022-10-04,2,Negative,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-10-06,2,Negative,Google,Good variety of art and film. Jockum Nordström: The Lonely Ones was a bit dense but rewarding.
2022-10-06,2,Negative,Yelp,Great film programming. Caught a rare 35mm screening of Synonyms. Pure cinema magic.
2022-10-08,1,Negative,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-10-08,4,Positive,Google,Great film programming. Caught a rare 35mm screening of Platform (Zhantai). Pure cinema magic.
2022-10-09,5,Positive,Yelp,A little pricey but the quality is always there. Loved the In the Mood for Love screening.
2022-10-11,5,Positive,Yelp,BAMPFA always delivers. Saw Beau Travail here — stunning print on the big screen.
2022-10-16,2,Negative,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-10-18,4,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-10-20,5,Positive,Google,BAMPFA always delivers. Saw The Assassin here — stunning print on the big screen.
2022-10-22,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-10-23,4,Positive,Google,Wonderful museum in the heart of Berkeley. The Theaster Gates: Black Image Corporation show was breathtaking.
2022-10-23,4,Positive,Google,The Theaster Gates: Black Image Corporation exhibition challenged me in the best way. Will be back next month.
2022-10-25,3,Neutral,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-10-25,5,Positive,Yelp,A little pricey but the quality is always there. Loved the Cache (Hidden) screening.
2022-10-28,5,Positive,Yelp,One of the best film archives on the West Coast. Decision to Leave on the big screen was a dream.
2022-10-30,4,Positive,Yelp,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-10-31,2,Negative,Google,BAMPFA always delivers. Saw Synonyms here — stunning print on the big screen.
2022-10-31,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-11-07,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2022-11-08,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-11-08,4,Positive,Google,Great film programming. Caught a rare 35mm screening of Beau Travail. Pure cinema magic.
2022-11-08,4,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-11-08,2,Negative,Yelp,One of the best film archives on the West Coast. Aftersun on the big screen was a dream.
2022-11-09,5,Positive,Yelp,A little pricey but the quality is always there. Loved the The Zone of Interest screening.
2022-11-10,4,Positive,Google,"Good variety of art and film. Paper, Scissors, Stone: Contemporary Japanese Prints was a bit dense but rewarding."
2022-11-12,4,Positive,Yelp,Not my usual style of art but Barry McGee: Point the Finger really opened my mind. Impressive curation.
2022-11-13,4,Positive,Google,"The Paper, Scissors, Stone: Contemporary Japanese Prints exhibition challenged me in the best way. Will be back next month."
2022-11-13,2,Negative,Google,BAMPFA always delivers. Saw Platform (Zhantai) here — stunning print on the big screen.
2022-11-14,5,Positive,Yelp,Good variety of art and film. Defne Ayas: Threshold was a bit dense but rewarding.
2022-11-14,5,Positive,Yelp,Not my usual style of art but Defne Ayas: Threshold really opened my mind. Impressive curation.
2022-11-15,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-11-15,4,Positive,Yelp,Not my usual style of art but Ant Farm: 1968–1978 really opened my mind. Impressive curation.
2022-11-17,5,Positive,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2022-11-18,5,Positive,Google,The Theaster Gates: Black Image Corporation exhibition challenged me in the best way. Will be back next month.
2022-11-20,4,Positive,Yelp,Good variety of art and film. Ant Farm: 1968–1978 was a bit dense but rewarding.
2022-11-20,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2022-11-22,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-11-25,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2022-11-26,5,Positive,Yelp,The Uncanny Valley: Being Human in the Age of AI exhibition challenged me in the best way. Will be back next month.
2022-11-30,4,Positive,Google,The Mildred Howard: Room Tone exhibition challenged me in the best way. Will be back next month.
2022-11-30,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2022-11-30,4,Positive,Yelp,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-12-01,4,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-12-01,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2022-12-03,4,Positive,Yelp,The Tauba Auerbach: S v Z exhibition challenged me in the best way. Will be back next month.
2022-12-04,4,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2022-12-04,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-12-04,3,Neutral,Google,Good variety of art and film. Tauba Auerbach: S v Z was a bit dense but rewarding.
2022-12-08,5,Positive,Google,Great film programming. Caught a rare 35mm screening of Past Lives. Pure cinema magic.
2022-12-08,4,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2022-12-10,5,Positive,Yelp,Membership is absolutely worth it. Always something new and thought-provoking.
2022-12-11,1,Negative,Google,One of the best film archives on the West Coast. Synonyms on the big screen was a dream.
2022-12-13,5,Positive,Yelp,Wonderful museum in the heart of Berkeley. The Jockum Nordström: The Lonely Ones show was breathtaking.
2022-12-17,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2022-12-17,5,Positive,Google,The gallery spaces are beautifully curated. Bay Area Now 9 was my favorite show this year.
2022-12-18,5,Positive,Google,Wonderful museum in the heart of Berkeley. The Jockum Nordström: The Lonely Ones show was breathtaking.
2022-12-18,4,Positive,Google,BAMPFA always delivers. Saw The Worst Person in the World here — stunning print on the big screen.
2023-01-02,3,Neutral,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2023-01-03,2,Negative,Google,Wonderful museum in the heart of Berkeley. The Barry McGee: Point the Finger show was breathtaking.
2023-01-03,5,Positive,Yelp,BAMPFA always delivers. Saw The Zone of Interest here — stunning print on the big screen.
2023-01-05,4,Positive,Google,Wonderful museum in the heart of Berkeley. The Barry McGee: Point the Finger show was breathtaking.
2023-01-10,5,Positive,Yelp,Good variety of art and film. Hung Liu: Portraits of Promised Lands was a bit dense but rewarding.
2023-01-11,4,Positive,Google,One of the best film archives on the West Coast. In the Mood for Love on the big screen was a dream.
2023-01-11,2,Negative,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-01-11,5,Positive,Google,One of the best film archives on the West Coast. Aftersun on the big screen was a dream.
2023-01-12,4,Positive,Google,The Tauba Auerbach: S v Z exhibition challenged me in the best way. Will be back next month.
2023-01-14,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-01-16,2,Negative,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-01-19,4,Positive,Google,The gallery spaces are beautifully curated. Uncanny Valley: Being Human in the Age of AI was my favorite show this year.
2023-01-21,5,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-01-21,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2023-01-23,4,Positive,Google,Wonderful museum in the heart of Berkeley. The Tauba Auerbach: S v Z show was breathtaking.
2023-01-28,5,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-02-01,3,Neutral,Google,One of the best film archives on the West Coast. Synonyms on the big screen was a dream.
2023-02-05,5,Positive,Google,Great film programming. Caught a rare 35mm screening of Portrait of a Lady on Fire. Pure cinema magic.
2023-02-08,4,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2023-02-08,4,Positive,Google,Not my usual style of art but Ant Farm: 1968–1978 really opened my mind. Impressive curation.
2023-02-09,5,Positive,Google,"Wonderful museum in the heart of Berkeley. The Paper, Scissors, Stone: Contemporary Japanese Prints show was breathtaking."
2023-02-10,4,Positive,Google,"The Paper, Scissors, Stone: Contemporary Japanese Prints exhibition challenged me in the best way. Will be back next month."
2023-02-10,5,Positive,Yelp,Not my usual style of art but Theaster Gates: Black Image Corporation really opened my mind. Impressive curation.
2023-02-13,5,Positive,Google,Wonderful museum in the heart of Berkeley. The Mildred Howard: Room Tone show was breathtaking.
2023-02-17,1,Negative,Google,A little pricey but the quality is always there. Loved the The Assassin screening.
2023-02-17,5,Positive,Google,Great film programming. Caught a rare 35mm screening of Beau Travail. Pure cinema magic.
2023-02-17,5,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-02-19,1,Negative,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-02-20,5,Positive,Google,Good variety of art and film. Tauba Auerbach: S v Z was a bit dense but rewarding.
2023-02-20,3,Neutral,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-02-20,2,Negative,Google,BAMPFA always delivers. Saw The Worst Person in the World here — stunning print on the big screen.
2023-02-23,1,Negative,Yelp,One of the best film archives on the West Coast. Cache (Hidden) on the big screen was a dream.
2023-02-24,4,Positive,Yelp,One of the best film archives on the West Coast. Yi Yi (A One and a Two) on the big screen was a dream.
2023-02-26,3,Neutral,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-03-05,4,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-03-16,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-03-21,2,Negative,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2023-03-22,4,Positive,Yelp,One of the best film archives on the West Coast. A Brighter Summer Day on the big screen was a dream.
2023-03-23,5,Positive,Google,One of the best film archives on the West Coast. Tropical Malady on the big screen was a dream.
2023-04-02,4,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-04-02,5,Positive,Yelp,One of the best film archives on the West Coast. Drive My Car on the big screen was a dream.
2023-04-02,5,Positive,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-04-02,5,Positive,Google,Good variety of art and film. Tauba Auerbach: S v Z was a bit dense but rewarding.
2023-04-02,5,Positive,Google,Wonderful museum in the heart of Berkeley. The Uncanny Valley: Being Human in the Age of AI show was breathtaking.
2023-04-03,4,Positive,Google,Great film programming. Caught a rare 35mm screening of The Zone of Interest. Pure cinema magic.
2023-04-07,5,Positive,Google,The gallery spaces are beautifully curated. Jockum Nordström: The Lonely Ones was my favorite show this year.
2023-04-07,4,Positive,Google,One of the best film archives on the West Coast. Drive My Car on the big screen was a dream.
2023-04-08,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2023-04-13,5,Positive,Google,BAMPFA always delivers. Saw Decision to Leave here — stunning print on the big screen.
2023-04-15,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2023-04-19,5,Positive,Google,Wonderful museum in the heart of Berkeley. The Defne Ayas: Threshold show was breathtaking.
2023-04-19,4,Positive,Yelp,Wonderful museum in the heart of Berkeley. The Bay Area Now 9 show was breathtaking.
2023-04-20,5,Positive,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-04-21,5,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-04-23,5,Positive,Yelp,The gallery spaces are beautifully curated. Ana Mendieta: Traces was my favorite show this year.
2023-04-23,5,Positive,Google,Good variety of art and film. Gordon Matta-Clark: Anarchitect was a bit dense but rewarding.
2023-04-24,5,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-04-30,5,Positive,Google,A gem of the Bay Area arts scene. Every visit feels special.
2023-04-30,1,Negative,Yelp,Not my usual style of art but Bay Area Now 9 really opened my mind. Impressive curation.
2023-05-04,4,Positive,Google,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-05-05,4,Positive,Yelp,BAMPFA always delivers. Saw Past Lives here — stunning print on the big screen.
2023-05-05,3,Neutral,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2023-05-05,3,Neutral,Google,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-05-06,4,Positive,Google,Good variety of art and film. Defne Ayas: Threshold was a bit dense but rewarding.
2023-05-07,5,Positive,Google,Solid programming but parking is tough. The content more than makes up for it.
2023-05-12,4,Positive,Google,Wonderful museum in the heart of Berkeley. The Mildred Howard: Room Tone show was breathtaking.
2023-05-13,5,Positive,Google,Not my usual style of art but Theaster Gates: Black Image Corporation really opened my mind. Impressive curation.
2023-05-15,5,Positive,Yelp,"Friendly staff, accessible space. The free First Thursday events are a great touch."
2023-05-15,5,Positive,Yelp,A little pricey but the quality is always there. Loved the Drive My Car screening.
2023-05-17,4,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2023-05-19,5,Positive,Google,BAMPFA always delivers. Saw The Assassin here — stunning print on the big screen.
2023-05-21,5,Positive,Yelp,Membership is absolutely worth it. Always something new and thought-provoking.
2023-05-21,5,Positive,Yelp,BAMPFA always delivers. Saw Beau Travail here — stunning print on the big screen.
2023-05-23,3,Neutral,Google,Great film programming. Caught a rare 35mm screening of Platform (Zhantai). Pure cinema magic.
2023-05-24,5,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2023-05-27,4,Positive,Google,Good variety of art and film. Radical Presence: Black Performance in Contemporary Art was a bit dense but rewarding.
2023-05-29,4,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2023-05-31,1,Negative,Google,Wonderful museum in the heart of Berkeley. The Ant Farm: 1968–1978 show was breathtaking.
2023-06-02,3,Neutral,Yelp,BAMPFA always delivers. Saw The Worst Person in the World here — stunning print on the big screen.
2023-06-03,5,Positive,Yelp,A gem of the Bay Area arts scene. Every visit feels special.
2023-06-04,5,Positive,Google,A little pricey but the quality is always there. Loved the A Brighter Summer Day screening.
2023-06-06,1,Negative,Google,Solid programming but parking is tough. The content more than makes up for it.
2023-06-07,4,Positive,Yelp,BAMPFA always delivers. Saw Platform (Zhantai) here — stunning print on the big screen.
2023-06-07,5,Positive,Yelp,Solid programming but parking is tough. The content more than makes up for it.
2023-06-08,4,Positive,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-06-15,5,Positive,Yelp,BAMPFA always delivers. Saw Past Lives here — stunning print on the big screen.
2023-06-16,3,Neutral,Google,The gallery spaces are beautifully curated. Gordon Matta-Clark: Anarchitect was my favorite show this year.
2023-06-19,4,Positive,Yelp,"Arrived late and missed the intro talk, but the exhibition itself was extraordinary."
2023-06-19,3,Neutral,Yelp,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-06-21,1,Negative,Google,Great film programming. Caught a rare 35mm screening of In the Mood for Love. Pure cinema magic.
2023-06-22,4,Positive,Google,Membership is absolutely worth it. Always something new and thought-provoking.
2023-06-23,4,Positive,Google,Not my usual style of art but Barry McGee: Point the Finger really opened my mind. Impressive curation.
2023-06-26,4,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-06-30,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-06-30,4,Positive,Yelp,Good variety of art and film. Radical Presence: Black Performance in Contemporary Art was a bit dense but rewarding.
2023-07-01,5,Positive,Google,Love this place. Staff are knowledgeable and the space feels intimate yet grand.
2023-07-02,5,Positive,Yelp,Not my usual style of art but Radical Presence: Black Performance in Contemporary Art really opened my mind. Impressive curation.
